L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Specification,About
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Lokhand Tawa - Iron Made, Dishwasher Safe, 29 cm, Wooden Handle,, 1 pc","The toughest part after cooking in a tawa is washing it and being afraid of its coating getting scratched. But you don't have to worry about that in the case of the tawa from Hazel. Dishwasher friendly and easy to clean, this tawa gives a truly hassle-free cooking experience. Enjoy a variety of dishes from stir fries to roasts and chapathis in this tawa that is made of high quality, food grade iron which ensures even cooking of all your dishes. Explore a range of Hazel products from mugs to tawas, glasses, lunch boxes and more on BigBasket.",1 pc,pcs,1 pc,1,1,1419,349,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243709'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243709_3-hazel-ironlokhandloha-tawa-with-wooden-handle-concave-pan-for-chapati-parantha-29-cm.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243709-2_3-hazel-ironlokhandloha-tawa-with-wooden-handle-concave-pan-for-chapati-parantha-29-cm.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243709-3_3-hazel-ironlokhandloha-tawa-with-wooden-handle-concave-pan-for-chapati-parantha-29-cm.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243709-4_3-hazel-ironlokhandloha-tawa-with-wooden-handle-concave-pan-for-chapati-parantha-29-cm.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243709-5_3-hazel-ironlokhandloha-tawa-with-wooden-handle-concave-pan-for-chapati-parantha-29-cm.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made of Iron
With wooden handle
Dishwasher safe
Durable
Elegant design
Food grade",-,"[{'EAN Code': '40243709'}, {'Manufactured & Marketed By': 'Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302'}, {'Country of Origin': 'India'}]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,-,"Brand - HAZEL
Type - Tawa
Material - Lokhand
Material Grade - Lokhand
Thickness - NA
Colour - Black
Non-Stick - No
Induction Friendly - No
Handle Material - NA
Handle Included - NA
Capacity - NA
Lid Included - NA
Lid Material - NA
Package Content - 1 pc Tawa",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Cooker Dabba Set - Flat, Perfect For 3 L Cookers, For Steaming, Reheating, Silver, 500 ml (Set of 2)","Steam dal, rice, vegetable and more efficiently, with the use of the HAZEL Stainless Steel Cooker Dabba. Coming in a set of 2, cook a healthy steamed meal or reheat your food quickly with these cooker dabbas. They are compatible with both stovetop and induction 3-litre pressure cookers. Their stainless steel body makes for a product that's built to last as well as one that's resistant to rust and corrosion. Explore the full range of HAZEL products, from tiffin containers to cups and saucers, only on Big Basket.",500 ml (Set of 2),ml,500 ml (Set of 2),2,1,859,299,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243672'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243672_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-3-l-cookers-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243672-2_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-3-l-cookers-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243672-3_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-3-l-cookers-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243672-4_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-3-l-cookers-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243672-5_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-3-l-cookers-for-steaming-reheating-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made from 100% food-grade stainless steel with a shiny silver finish
Suitable for stovetop and induction pressure cookers
Both sturdy and durable
Easy to clean and store",-,"[{'EAN Code': '40243672'}, {'Manufactured & Marketed By': 'Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302'}, {'Country of Origin': 'India'}]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,-,"Brand - HAZEL
Type - Cooker Dabba
Material - Stainless Steel
Material Grade - Stainless Steel
Thickness - NA
Colour - Silver
Non-Stick - No
Induction Friendly - No
Handle Material - NA
Handle Included - NA
Capacity - NA
Lid Included - NA
Lid Material - NA
Package Content - Set of 2 FLAT COOKER DABBA S1 SET OF 2",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Cooker Dabba Set - Flat, Perfect For Steaming, Reheating, Silver, 500 ml (Set of 3)","Cook vegetables, dal and a variety of other foods simultaneously, using the HAZEL Stainless Steel Flat Cooker Dabba. Coming in a set of 3, these dabbas sit perfectly in a 3-litre stovetop or induction pressure cooker. Custom designed for the Indian household these stainless steel dabbas are perfect for steaming or reheating rice, vegetable and other items together, making your cooking experience quick and efficient. The stainless steel ensures that the dabbas are rust-free and durable, so you don't have to replace them anytime soon. Easy to clean with soap, this is the low-maintenance cookware that will become an everyday staple in your kitchen. Explore the full range of HAZEL products, from tiffin containers to cups and saucers, only on Big Basket.",500 ml (Set of 3),ml,500 ml (Set of 3),3,1,492,429,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243671'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243671_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243671-2_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243671-3_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243671-4_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243671-5_1-hazel-stainless-steel-cooker-dabba-set-flat-perfect-for-steaming-reheating-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made from 100% food-grade stainless steel with a shiny silver finish
Suitable for stovetop and induction pressure cookers
Both sturdy and durable
Easy to clean and store",-,"[{'EAN Code': '40243671'}, {'Manufactured & Marketed By': 'Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302'}, {'Country of Origin': 'India'}]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,-,"Brand - HAZEL
Type - Cooker Dabba
Material - Stainless Steel
Material Grade - Stainless Steel
Thickness - NA
Colour - Silver
Non-Stick - No
Induction Friendly - No
Handle Material - NA
Handle Included - NA
Capacity - NA
Lid Included - NA
Lid Material - NA
Package Content - Set of 3 FLAT COOKER DABBA S1 SET OF 3",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Cooker Dabba Set - Round, Perfect For Steaming, Reheating, Silver, 600 ml (Set of 3)","Make your favourite Indian meal in half the time with the HAZEL Stainless Steel Cooker Dabba. Made from 100% stainless steel, this set of 3 cooker dabbas are durable and perfect for daily use. They're also resistant to rust and corrosion, ensuring that they remain damage-free for a long time. Stack them up in a stove-top or induction pressure cooker, to efficiently cook dal, rice, vegetable and a variety of other items all at the same time. These containers are also perfect for reheating food as well. Explore the full range of HAZEL products, from tiffin containers to cups and saucers, only on Big Basket.",600 ml (Set of 3),ml,600 ml (Set of 3),3,1,1179,449,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243675'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243675_1-hazel-stainless-steel-cooker-dabba-set-round-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243675-2_1-hazel-stainless-steel-cooker-dabba-set-round-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243675-3_1-hazel-stainless-steel-cooker-dabba-set-round-perfect-for-steaming-reheating-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243675-4_1-hazel-stainless-steel-cooker-dabba-set-round-perfect-for-steaming-reheating-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made from 100% food-grade stainless steel with a shiny silver finish
Suitable for stovetop and induction pressure cookers
Both sturdy and durable
Easy to clean and store",-,"[{'EAN Code': '40243675'}, {'Manufactured & Marketed By': 'Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302'}, {'Country of Origin': 'India'}]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,-,"Brand - HAZEL
Type - Cooker Dabba
Material - Stainless Steel
Material Grade - Stainless Steel
Thickness - NA
Color - Silver
Non-Stick - No
Induction Friendly - No
Handle Material - NA
Handle Included - NA
Capacity - NA
Lid Included - NA
Lid Material - NA
Package Content - Set of 3 ROUND COOKER DABBA S1 SET OF 3",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Hawkins,"Hawkins Aluminium Grill Pan - 3 Layer, 26.9 cm, Glass Lid, 1 pc 49",The Hawkins Die Cast Grill Pan is the one for you if you're looking for a kitchen accessory that lets you grill on the stove while ensuring your food is healthy. The grill pan comes with a triple-layer non-stick coating and is made of the best quality aluminium. It has a hi-tech ceramic coating outside. The precision cast ridges help to raise the food and let you grill or braise food. It also comes with a toughened glass lid and a tough handle making it convenient to use. Explore the wide range of Hawkins Kitchenware and accessories from pressure cookers to frying pans and gaskets only on Big Basket.,1 pc 49,pcs,1 pc 49,1,1,1975,1899,"Hawkins Cookers Limited,F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India",India,['40244453'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40244453_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40244453-2_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40244453-3_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40244453-4_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40244453-5_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40244453-6_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40244453-7_1-hawkins-die-cast-grill-pan-with-glass-lid-durable-red-dcgp30g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made from pure food grade aluminium
2. Has a heat-resistant and unbreakable handle
3. Automatic safety valve
4. Superior pressure regulation
5. Leak proof 6. Life long free service","Use the grill pan to prepare delicious starters or kebabs, grilled chicken, potato wedges and even paneer tikka.","[{'EAN Code': '40244453'}, {'Manufactured & Marketed By': 'Hawkins Cookers Limited,F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India'}, {'Country of Origin': 'India'}]","Hawkins Cookers Limited,F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India",-,-,-,-,"1. Brand - Hawkins
2. Type - Die Cast Grill Pan
3. Material - Aluminium
4. Colour - Red
5. Capacity - 30cm
6. Warranty - 2 Years
7. Contents - 1 Grill Pan, 1 Glass Lid, 1 Wooden Spatula, 1 Steel Scrubber",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Hawkins,"Hawkins Aluminium Inner Lid Pressure Cooker - Bakelite Handle, Silver, CL15, 1.5 L","The Classic is Hawkins largest-selling, most popular range of pressure cookers, perhaps because of its attractive combination of features, benefits, and price. This range was the first to be introduced by Hawkins and has been kept up to date by numerous innovations and improvements over the years. The latest improvement, introduced in 2005, is a superior pressure regulating system that controls pressure to a narrower, more efficient range, reduces sprouting of frothy foods (such as dal) and is easier to insert and remove. 
The safety valve is located under the lid handlebar so that when it operates the steam is safely deflected downwards. The gasket has minimum exposure to steam inside the cooker, does not rub every time the product is opened and closed, so lasts longer. Suitable for gas, electric, ceramic and halogen cooktops. It comes with stay-cool handles. Fixed sturdy pivot does not put pressure on the plastic handles as it is a part of the metal handle itself. Thus, handles last longer. Recommended for use on gas stoves. Ideal to cook for 1 or 2 people.",1.5 L,L,1.5 L,1,1,1100,1075,Hawkins,India,['8901165090849'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40013926_2-hawkins-classic-aluminium-pressure-cooker-cl15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013926-2_1-hawkins-classic-aluminium-pressure-cooker-cl15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013926-3_1-hawkins-classic-aluminium-pressure-cooker-cl15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013926-4_1-hawkins-classic-aluminium-pressure-cooker-cl15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013926-5_1-hawkins-classic-aluminium-pressure-cooker-cl15.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901165090849'}, {'Country of origin': 'India'}, {'",-,-,-,"Made from pure virgin aluminium
Base thickness 3.25 mm
Super-fast cooking
Pressure Regulator cooks faster, saves more fuel
Inside-fitting Safety lid will not open until the pressure falls",-,"Type : Pressure Cooker
Material : Aluminium
Material Grade: Pure virgin aluminium
Size : Length : 31.5 cm / 12.4 in
Height : 15.1 cm / 5.9 in
Diameter : 15.9 cm / 6.3 in
Product Weight : 0.9 kg / 2.0 lb
Packed in Carton Weight : 1.5 kg / 3.3 lb
Capacity: 1.5 litre
Thickness: Base Thickness: 3.25 mm
Colour: Silver
Non-Stick: No
Induction Bottom: No
Lid Included: Yes
Handle: Yes
Handle Material: Bakelite
Dimensions : Length : 31.5 cm / 12.4 in
Height : 15.1 cm / 5.9 in
Diameter : 15.9 cm / 6.3 in
Package Content: 1. Pressure Cooker Lid, 2. Rubber Gasket, 3. Vent Weight, 4. Guarantee Card, 5. Cookbook, 6. Service Centre Directory, 7.Cooker Body.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Hawkins,"Hawkins Aluminium Inner Lid Pressure Cooker - Bakelite Handle, Silver, CL50, 5 L","The Classic is Hawkins largest-selling, most popular range of pressure cookers, perhaps because of its attractive combination of features, benefits, and price. This range was the first to be introduced by Hawkins and has been kept up to date by numerous innovations and improvements over the years. The latest improvement, introduced in 2005, is a superior pressure regulating system that controls pressure to a narrower, more efficient range, reduces sprouting of frothy foods (such as dal) and is easier to insert and remove. 
The safety valve is located under the lid handlebar so that when it operates the steam is safely deflected downwards. The gasket has minimum exposure to steam inside the cooker, does not rub every time the product is opened and closed, so lasts longer. Suitable for gas, electric, ceramic and halogen cooktops. It comes with stay-cool handles. Fixed sturdy pivot does not put pressure on the plastic handles as it is a part of the metal handle itself. Thus, handles last longer. Recommended for use on gas stoves. Ideal to cook for 5 to 7 persons.",5 L,L,5 L,1,1,2050,1999,Hawkins,India,['8901162004846'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40013930_2-hawkins-classic-aluminium-pressure-cooker-cl50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013930-2_1-hawkins-classic-aluminium-pressure-cooker-cl50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013930-3_1-hawkins-classic-aluminium-pressure-cooker-cl50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013930-4_1-hawkins-classic-aluminium-pressure-cooker-cl50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013930-5_1-hawkins-classic-aluminium-pressure-cooker-cl50.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901162004846'}, {'Country of origin': 'India'}, {'",-,-,-,"Made from pure virgin aluminium. 
Base thickness 3.25 mm. 
Super-fast cooking. 
Pressure Regulator cooks faster, saves more fuel
Inside-fitting Safety lid will not open until the pressure falls.",-,"Type: Pressure Cooker
Material: Aluminium
Material Grade: Pure virgin aluminium
Size : Length : 42 cm / 16.5 in
Height : 21.4 cm / 8.4 in
Diameter : 21.8 cm / 8.6 in
Product Weight : 1.7 kg / 3.7 lb
Packed in Carton Weight : 2.5 kg / 5.5 lb
Capacity: 5 litre
Thickness: Base Thickness: 3.25 mm
Colour: Silver
Non-Stick: No
Induction Bottom: No
Lid Included: Yes
Handle: Yes
Handle Material: Bakelite
Dimensions: Length : 42 cm / 16.5 in
Height : 21.4 cm / 8.4 in
Diameter : 21.8 cm / 8.6 in
Package Content: 1. Pressure Cooker Lid, 2. Rubber Gasket, 3. Vent Weight, 4. Guarantee Card, 5. Cookbook, 6. Service Centre Directory, 7.Cooker Body.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Hawkins,"Hawkins Aluminium Inner Lid Pressure Cooker - Bakelite Handle, Silver, HC35, 3.5 L","The Contura has a unique body with rounded sides for easier stirring, better visibility and easy removal of food. For difficult dishes which require a lot of stirring, the Contura is the ideal cooker. Stay-cool handles. Recommended for use on gas stoves. Ideal for 4 or 5 persons. 
Features & Benefits: 
New improved pressure regulator 
Operates at 1 kg/cm2 (15 pounds/square inch) pressure.
Saves more fuel.
Thermal efficient; heats fast and evenly
Cooks faster.
Curved body for easy stirring
Pressure-locked Safety lid “ cannot be opened while there is pressure inside.
Safety valve under lid handlebar for greater safety
Gasket lasts longer since it is not rubbed during opening or closing. 
Made from pure virgin aluminium.",3.5 L,L,3.5 L,1,1,1775,1749,"Hawkins Cookers Limited F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India",India,['8901165020846'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40013950_2-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-2_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-3_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-4_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-5_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-6_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-7_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013950-8_1-hawkins-contura-aluminium-pressure-cooker-hc35.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901165020846'}, {'Manufactured & Marketed by': 'Hawkins Cookers Limited F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India'}, {'Country of origin': 'India'}, {'","Hawkins Cookers Limited F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India",-,-,-,Do not put hot pressure cooker in a water. Dry heating may permanently damage the cooker.,"Brand: Hawkins
Type: Pressure Cooker
Material: Aluminium
Material Grade: Pure virgin aluminium
Thickness: 3.25 mm
Colour: Silver
Non-Stick: No
Induction Bottom: No
Handle Included: Yes
Handle Material: Bakelite
Capacity: 3.5 Litre
Lid Included: Yes
Dimensions: (LxWxH) in mm: 380 x 166 x 231
Package Content: 1. Pressure Cooker Body, 2. Pressure Cooker Lid, 3. Rubber Gasket, 4. Vent Weight, 5. Guarantee Card, 6. Cookbook, 7. Service Centre Directory",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Hawkins,"Hawkins Aluminium Inner Lid Pressure Cooker - Bakelite Handle, Silver, HC50, 5 L","Contura has a unique body with rounded sides for easier stirring, better visibility, and easy removal of food. For difficult dishes which require a lot of stirring, the Contura Pressure Cooker is the ideal cooker. It comes with stay-cool handles. Recommended for use on gas stoves and is ideal for 5 to 7 persons.",5 L,L,5 L,1,1,2150,2099,Hawkins,India,['8901165022840'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40013952_2-hawkins-contura-aluminium-pressure-cooker-hc50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013952-2_1-hawkins-contura-aluminium-pressure-cooker-hc50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013952-3_1-hawkins-contura-aluminium-pressure-cooker-hc50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013952-4_1-hawkins-contura-aluminium-pressure-cooker-hc50.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013952-5_1-hawkins-contura-aluminium-pressure-cooker-hc50.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901165022840'}, {'Country of origin': 'India'}, {'",-,-,-,"New improved pressure regulator
Operates at 1 kg/cm2 (15 pounds / square inch) pressure
Saves more fuel 
Thermal efficient; heats fast and evenly
Cooks faster
Curved body for easy stirring
Pressure-locked Safety lid cannot be opened while there is pressure inside
Safety valve under lid handlebar for greater safety
Gasket lasts longer since it is not rubbed during opening or closing
Made from pure virgin aluminium.",-,"Type: Pressure Cooker
Material: Aluminium
Material Grade: Pure virgin aluminium
Size : Length : 41.8 cm / 16.5 in
Height : 19.5 cm / 7.7 in
Diameter : 24.7 cm / 9.7 in
Product Weight : 1.8 kg / 4 lb
Packed in Carton Weight : 2.6 kg / 5.7 lb
Capacity: 5 litre
Thickness: Base Thickness: 3.25 mm
Colour: Silver
Non-Stick: No
Induction Bottom: No
Lid Included: Yes
Handle: Yes
Handle Material: Bakelite
Dimensions : Length : 41.8 cm / 16.5 in
Height : 19.5 cm / 7.7 in
Diameter : 24.7 cm / 9.7 in
Package Content: 1. Pressure Cooker Lid, 2. Rubber Gasket, 3. Vent Weight, 4. Guarantee Card, 5. Cookbook, 6. Service Centre Directory, 7.Cooker Body.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Hawkins,"Hawkins Aluminium Inner Lid Pressure Cooker - With Handle, Silver, HC20, 2 L","The Conture is Hawkins' largest-selling, most popular range of pressure cookers - perhaps because of its attractive combination of features, benefits, and price. The Contura has a unique body with rounded sides for easier stirring, better visibility, and easy removal of food. For difficult dishes which require a lot of stirring, the Contura is the ideal cooker.",2 L,L,2 L,1,1,1375,1329,"Hawkins Cookers Limited, F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India",India,['8901165023847'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40013948_3-hawkins-contura-pressure-cooker-hc20.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013948-2_2-hawkins-contura-pressure-cooker-hc20.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013948-3_2-hawkins-contura-pressure-cooker-hc20.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013948-4_2-hawkins-contura-pressure-cooker-hc20.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013948-5_2-hawkins-contura-pressure-cooker-hc20.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013948-6_2-hawkins-contura-pressure-cooker-hc20.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40013948-7_2-hawkins-contura-pressure-cooker-hc20.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It has a hard anodised body with a stainless-steel lid.
It has a glossy black finish which makes it convenient to serve on the table.
This cooker helps save fuel as it absorbs heat fast.","Body made up of steel and handle made up of Bakelite.
To make our daily cooking task easier, the invention of a pressure cooker has come of immense help.
A pressure cooker helps in cooking food quickly and helps in retaining various vitamins and minerals.
It is equipped with safety measures such as metallic safety valve and a gasket release system.
You can use this pressure cooker to cook a wide variety of dishes like porridge, risotto, chicken, or soup.
Clean and dry your pressure cooker immediately after every use.
Maintain Correct water Level. Dont keep the empty cooker on the flame.","[{'EAN Code': '8901165023847'}, {'Manufactured & Marketed by': 'Hawkins Cookers Limited, F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India'}, {'Country of Origin': 'India'}]","Hawkins Cookers Limited, F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India",-,-,-,-,"1. Material: Aluminium.
2. Capacity: 2 L.
3. Features: Stylish and efficient, this Hawkins Pressure Cooker is designed for hassle-free cooking, The handles provide perfect grip while holding it, does not corrode or react with food, stays looking new for years.
4. Type: Pressure Cooker.
5. Colour: Sliver.
6. Brand: Hawkins.
7. Induction: No",-
