L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Package Contains,About
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Bombucha,"Bombucha Mango Turmeric Kombucha, 500 ml Bottle","Mango Turmeric Kombucha Bringing a little bit of sunshine to your life with the sweet and tangy flavours of Mango with the healing power of Turmeric. Mango Turmeric Kombucha helps you naturally heal your body from within. The harmonious blend of the delicate sencha tea and aromatic Darjeeling creates a perfect base for the fruity goodness of the mango and earthy character of the turmeric to be in the limelight
Sencha tea - Is known to help burn calories and promote weight loss. The antioxidants in sencha help retain youthful skin and reduce wrinkles, repair inflamed and damaged skin. Darjeeling Black Tea - Rich in antioxidants which helps combat free radicals in the body, eliminate toxins, helps promote weight loss, fights bacteria and bad breath.
Mango - Mango is known to have a number of nutrients that improve immunity, digestive health and eyesight, as well as a lower the risk of certain cancers.
Turmeric - Known as the golden spice. Turmeric is an anti-inflammatory, antibacterial and a powerful antioxidant. It also reduces symptoms of skin conditions like psoriasis and eczema.",500 ml Bottle,ml,500 ml Bottle,1,1,260,260,"fermwell Foods Pvt Ltd ,106 Andheri universal estate, JP Road, Andheri West, Mumbai 58",India,['40210395'],['11518006000679'],https://datalabs.siva3.io/image/Eunimart_groceries_40210395_2-bombucha-mango-turmeric-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210395-2_2-bombucha-mango-turmeric-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210395-3_2-bombucha-mango-turmeric-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210395-4_2-bombucha-mango-turmeric-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210395-5_2-bombucha-mango-turmeric-kombucha.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to Drink,"[{'EAN Code': '40210395'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11518006000679'}, {'Manufactured & Marketed By': 'fermwell Foods Pvt Ltd ,106 Andheri universal estate, JP Road, Andheri West, Mumbai 58'}]","fermwell Foods Pvt Ltd ,106 Andheri universal estate, JP Road, Andheri West, Mumbai 58",-,-,-,"Organic Crafted Kombucha (Fermented From RO Water, Organic Sugar, Organic Tea And Kombucha Culture) Mango And Turmeric",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Bombucha,"Bombucha Original Kombucha, 500 ml Bottle","Original Kombucha For the ones who love to experiment, here comes a DIY drink made with the infusion of the loved Japanese Sencha tea and black tea. Sencha tea is known for its unique flavour profile, naturally sweet and bitter flavours harmonise beautifully with black teas bold and smoky tones. Original Kombucha has the delicate balance of these beautiful teas which allows you to give your own twist to the mix. Add your favourite fruits and spices to create your own flavour of Kombucha Sencha tea - Is known to help burn calories and promote weight loss. The antioxidants in sencha help retain youthful skin and reduce wrinkles, repair inflamed and damaged skin. Darjeeling Black Tea - Rich in antioxidants which helps combat free radicals in the body, eliminate toxins, helps promote weight loss, fights bacteria and bad breath. Darjeeling tea is rich in antioxidants, which are known to combat free radicals in the body, neutralize chemicals during digestion, and eliminate toxins.",500 ml Bottle,ml,500 ml Bottle,1,1,260,260,"fermwell Foods Pvt Ltd ,106 Andheri universal estate, JP Road, Andheri West, Mumbai 58",India,['787099473174'],['11518006000679'],https://datalabs.siva3.io/image/Eunimart_groceries_40210402_3-bombucha-original-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210402-2_3-bombucha-original-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210402-3_3-bombucha-original-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210402-4_3-bombucha-original-kombucha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210402-5_3-bombucha-original-kombucha.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to Drink,"[{'EAN Code': '787099473174'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11518006000679'}, {'Manufactured & Marketed By': 'fermwell Foods Pvt Ltd ,106 Andheri universal estate, JP Road, Andheri West, Mumbai 58'}]","fermwell Foods Pvt Ltd ,106 Andheri universal estate, JP Road, Andheri West, Mumbai 58",-,-,-,"Crafted Kombucha (Fermented From RO Water, Sugar, Tea And Kombucha Culture)",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cavins,"Cavins Kaju Butterscotch Milkshake - With Zinc, Vitamin A & D Added, Supports Immunity, 2x1 L Multipack","Cavin's Kaju Butterscotch Milkshakes are thick and creamy flavoured shakes fortified with the goodness of milk, cashew, and butterscotch to make every sip irresistibly delightful. It is a healthy mid-meal snack that will provide your children with an instant source of energy. It is now fortified with Zinc for immune support and is a good source of Calcium, Vitamin A, and Vitamin D for strong bones and teeth. So, why wait when you can have both taste and health in a single tetra pack? A family pack to enjoy with your loved ones. 
Benefits
Building muscles: Milk has proteins including healthy whey protein that aids in building muscles and helps you stay strong and fight fit.
Stronger bones and teeth: Milk contains phosphorus and vitamin D helps strengthen bones and teeth.
Energy for vigour & vitality: Milk provides energy to keep you going throughout the day. Lactose in milk gives you a prolonged energy supply.
Empowering the body & mind: Milk contains many B vitamins that help build immunity and empower the mind.
Glowing skin: Milk has fat and vitamin E helps nourish your skin and improves your complexion.",2x1 L Multipack,L,2x1 L Multipack,1,1,480,480,"Cavinkare Pvt Ltd, Bhavani to Anthiyur Main Road, MyLambadi Erode-638314",India,['1208955'],-,https://datalabs.siva3.io/image/Eunimart_groceries_208955_5-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-2_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-3_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-4_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-5_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-6_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-7_3-cavins-milkshake-kaju-butterscotch.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to use.,"[{'EAN Code': '1208955'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Cavinkare Pvt Ltd, Bhavani to Anthiyur Main Road, MyLambadi Erode-638314'}, {'Marketed by': 'Cavinkare Pvt Ltd-12, Cenotaph Road, Chennai 600018'}, {'","Cavinkare Pvt Ltd-12, Cenotaph Road, Chennai 600018",-,-,"Rich source of calcium, proteins and minerals. 
89% milk, no added water. 
No add preservatives. 
Zinc supports a healthy immune system. 
Vitamin D & calcium supports strong bones and teeth.","Toned Milk (89%), Sugar, Stabilizers (INS 415, INS 412, INS 407), Sequestrant (INS 451 (i)), lodized Salt, Cashew Powder (0.05%), Emulsifier (INS 436), Mineral & Vitamin Premix (Zinc, Vitamin A & D). Contains Permitted Synthetic Food Colour (Ins 110) And Added Flavour (Nature Identical And Artificial (Kaju Katri) Flavouring Substances).",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cavins,"Cavins Kaju Butterscotch Milkshake - With Zinc, Vitamin A & D Added, Supports Immunity, 2x1 L Multipack","Cavin's Kaju Butterscotch Milkshakes are thick and creamy flavoured shakes fortified with the goodness of milk, cashew, and butterscotch to make every sip irresistibly delightful. It is a healthy mid-meal snack that will provide your children with an instant source of energy. It is now fortified with Zinc for immune support and is a good source of Calcium, Vitamin A, and Vitamin D for strong bones and teeth. So, why wait when you can have both taste and health in a single tetra pack? A family pack to enjoy with your loved ones. 
Benefits
Building muscles: Milk has proteins including healthy whey protein that aids in building muscles and helps you stay strong and fight fit.
Stronger bones and teeth: Milk contains phosphorus and vitamin D helps strengthen bones and teeth.
Energy for vigour & vitality: Milk provides energy to keep you going throughout the day. Lactose in milk gives you a prolonged energy supply.
Empowering the body & mind: Milk contains many B vitamins that help build immunity and empower the mind.
Glowing skin: Milk has fat and vitamin E helps nourish your skin and improves your complexion.",2x1 L Multipack,L,2x1 L Multipack,1,1,480,480,"Cavinkare Pvt Ltd, Bhavani to Anthiyur Main Road, MyLambadi Erode-638314",India,['1208955'],-,https://datalabs.siva3.io/image/Eunimart_groceries_208955_5-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-2_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-3_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-4_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-5_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-6_3-cavins-milkshake-kaju-butterscotch.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_208955-7_3-cavins-milkshake-kaju-butterscotch.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to use.,"[{'EAN Code': '1208955'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Cavinkare Pvt Ltd, Bhavani to Anthiyur Main Road, MyLambadi Erode-638314'}, {'Marketed by': 'Cavinkare Pvt Ltd-12, Cenotaph Road, Chennai 600018'}, {'","Cavinkare Pvt Ltd-12, Cenotaph Road, Chennai 600018",-,-,"Rich source of calcium, proteins and minerals. 
89% milk, no added water. 
No add preservatives. 
Zinc supports a healthy immune system. 
Vitamin D & calcium supports strong bones and teeth.","Toned Milk (89%), Sugar, Stabilizers (INS 415, INS 412, INS 407), Sequestrant (INS 451 (i)), lodized Salt, Cashew Powder (0.05%), Emulsifier (INS 436), Mineral & Vitamin Premix (Zinc, Vitamin A & D). Contains Permitted Synthetic Food Colour (Ins 110) And Added Flavour (Nature Identical And Artificial (Kaju Katri) Flavouring Substances).",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cocojal,"Cocojal Tender Coconut Water - Lime Flavor, 200 ml Pack of 6","Cocojal present naturally refreshing, coconut water with Lime taste has a sugary, nutty flavor, containing simply digestible sugar and electrolyte. Coconut water is wealthy in antioxidants too, which facilitate fighting free radicals, and has wonderful anti ageing properties. This drink is rich in essential nutrients and successfully treats dehydration.",200 ml Pack of 6,pcs,200 ml Pack of 6,6,1,300,300,"Jain Agro Food Products Private Limited,; #16 - B; Somanahalli Industrial Area, Maddur Taluq; Mandya Dist; Karnataka, India - 571 429;",India,['163298'],-,https://datalabs.siva3.io/image/Eunimart_groceries_63298_1-cocojal-tender-coconut-water-lime-flavor.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '163298'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Jain Agro Food Products Private Limited,; #16 - B; Somanahalli Industrial Area, Maddur Taluq; Mandya Dist; Karnataka, India - 571 429;'}]",-,-,-,-,"Water, lime pulp, tender coconut water, sugar.",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cocojal,"Cocojal Tender Coconut Water - Pineapple Flavor, 200 ml Pack of 6","Cocojal offers clean twist of pineapple, which has a sugary and fruity flavor, makes this coconut water even your children favorite. Coconut water's potassium level is double the amount found in bananas and it's a completely fat free drink. It provides high-class juices and drinks that give appetizing flavor choices, nutrients, and great feel. Coconut water has been touted for its therapeutic and cosmetic values for ages.",200 ml Pack of 6,pcs,200 ml Pack of 6,6,1,300,300,"Jain Agro Food Products Private Limited,; #16 - B; Somanahalli Industrial Area, Maddur Taluq; Mandya Dist; Karnataka, India - 571 429;",India,['163297'],-,https://datalabs.siva3.io/image/Eunimart_groceries_63297_1-cocojal-tender-coconut-water-pineapple-flavor.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '163297'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Jain Agro Food Products Private Limited,; #16 - B; Somanahalli Industrial Area, Maddur Taluq; Mandya Dist; Karnataka, India - 571 429;'}]",-,-,-,-,"Water, pineapple pulp, tender coconut water, sugar acidity regulator (E330).",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cocojal,"Cocojal Tender Coconut Water, 200 ml Pack of 6","Cocojal Tender Coconut Water is bottled natural coconut water which packs all the goodness of natural coconut water. Added to antioxidants, which has anti-ageing properties this refreshing taste and the delicate sweetness make it an obvious and definitely healthier alternative than cold drinks and sodas. In fact, if you feel drained and lack energy, this will replenish the electrolytes. A glass of this sweet delicate drink after lunch can be really good for your health. Of course, you can also create an exotic mocktail or a fruit punch and serve it to your guests on a hot summer day.",200 ml Pack of 6,pcs,200 ml Pack of 6,6,1,300,300,"Jain Agro Food Products Private Limited, ; #16 - B; Somanahalli Industrial Area, Maddur Taluq; Mandya Dist; Karnataka, India - 571 429;",India,['136297'],-,https://datalabs.siva3.io/image/Eunimart_groceries_36297_7-cocojal-tender-coconut-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_36297-2_2-cocojal-tender-coconut-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_36297-3_2-cocojal-tender-coconut-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_36297-4_2-cocojal-tender-coconut-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_36297-5_2-cocojal-tender-coconut-water.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This low fat drink is high on energy The natural enzymes and the rich fiber of coconut water help to prevent indigestion and acidic reflux. It can be an alternative for saline solution and prevents the body from being dehydrated. Packed with electrolytes. Keeps your blood pressure in check.,-,"[{'EAN Code': '136297'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Jain Agro Food Products Private Limited, ; #16 - B; Somanahalli Industrial Area, Maddur Taluq; Mandya Dist; Karnataka, India - 571 429;'}]",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cocomama,"Cocomama Coconut Milk - Diary Free, For Cooking & Baking, 250 ml","Coco Mama Coconut Milk is extracted from the highest quality organic coconuts from the coasts of Tamil Nadu and Kerala. Coco Mama Coconut Milk has 18% fat which provides a creamy taste and aroma making it ideal for cooking and baking. It is a great alternative to dairy milk as a lactose-free vegan option. The taste of natural coconut milk enhances the flavour and experience of any dish you make. Its rich and creamy taste pairs best with not only the coastal curries like Malabar, Goan, Thai and Bengali curries. It does not contain any added preservatives.",250 ml,ml,250 ml,1,1,85,76.5,"Apex Coco And Solar Energy Limited, No. 70/1, Devanallur Chellampallyam, Dharapuram, Tirpur 638672",India,['40198325'],['10018042004486'],https://datalabs.siva3.io/image/Eunimart_groceries_40198325_1-cocomama-coconut-milk-dairy-free-natural-no-added-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198325-2_1-cocomama-coconut-milk-dairy-free-natural-no-added-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198325-3_1-cocomama-coconut-milk-dairy-free-natural-no-added-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198325-4_1-cocomama-coconut-milk-dairy-free-natural-no-added-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198325-5_1-cocomama-coconut-milk-dairy-free-natural-no-added-preservatives.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40198325'}, {'Fssai Number': '10018042004486'}, {'Manufacturer Name & ': 'Apex Coco And Solar Energy Limited, No. 70/1, Devanallur Chellampallyam, Dharapuram, Tirpur 638672'}, {'Marketed By': 'Life Health Foods India Pvt Ltd (Lhf), 213, Atlanta Estate, Goregaon East, Mumbai 63'}, {'Country Of Origin': 'India'}, {'","Life Health Foods India Pvt Ltd (Lhf), 213, Atlanta Estate, Goregaon East, Mumbai 63",-,-,-,"Coconut Cream, Water, Stabiliser.",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Cocomama,"Cocomama Coconut Water - With Vitamin C, Rich In Electrolytes, 250 ml Tetrapak","Coco Mama Coconut Water is made from the finest coconuts. It is a great alternative to all sports drink and other beverages. This coconut water is full of minerals, electrolytes and antioxidants. A great refreshing drink for summer or during anytime of the year. Keep yourself hydrated with this coconut water for a healthier lifestyle. It is naturally refreshing and has a sweet, nutty taste. Our coconut water is made with 100% natural coconut water, it does not contain any added flavour or preservative. It is untouched and hygienically packed to ensure your safety.",250 ml Tetrapak,ml,250 ml Tetrapak,1,1,50,50,"APEX COCO AND SOLAR ENERGY LIMITED,NO 70-1, Devanallur, Chellampalayam Post, Dharapuram TK, Tiruppur District, 638672, Tamil Nadu, India",India,['40216905'],['10018042004486'],https://datalabs.siva3.io/image/Eunimart_groceries_40216905_1-cocomama-coconut-water-rich-in-electrolytes-with-vitamin-c.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216905-2_1-cocomama-coconut-water-rich-in-electrolytes-with-vitamin-c.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216905-3_1-cocomama-coconut-water-rich-in-electrolytes-with-vitamin-c.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216905-4_1-cocomama-coconut-water-rich-in-electrolytes-with-vitamin-c.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216905-5_1-cocomama-coconut-water-rich-in-electrolytes-with-vitamin-c.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Coco Mama Coconut Water contains no added flavour or preservative. 2. Coco Mama Coconut Water is refreshing and rich in minerals, nutrients, and electrolytes. 3. It helps keep your body to keep hydrated. 4. Coconut Water is low in calories. 5. It contains anti-oxidants which help in nourishing your skin. 6. It is a naturally low sugar healthier alternative to other carbonated and processed beverages.",-,"[{'EAN Code': '40216905'}, {'FSSAI No': '10018042004486'}, {'Manufactured & Marketed by': 'APEX COCO AND SOLAR ENERGY LIMITED,NO 70-1, Devanallur, Chellampalayam Post, Dharapuram TK, Tiruppur District, 638672, Tamil Nadu, India'}, {'Country of origin': 'India'}]","APEX COCO AND SOLAR ENERGY LIMITED,NO 70-1, Devanallur, Chellampalayam Post, Dharapuram TK, Tiruppur District, 638672, Tamil Nadu, India",-,-,-,"Coconut, Vitamin C, fruit sugar",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Dabur,"Dabur Hommade Lemoneez - Goodness Of 33 Lemons, 250 ml","Made from the finest lemons sourced from Brazil, Dabur Hommade Lemoneez makes your job easier and faster. One bottle (250ml) of Dabur Hommade Lemoneez is equivalent to the juice of 33 lemons. Made from 100% fresh lemon extract, Dabur Hommade Lemoneez is absolutely pure and safe. Our Hommade range is an inspiration for seasoned cooks, experimental folks who like to try cooking and aspiring chefs-to-be.",250 ml,ml,250 ml,1,1,80,80,Dabur ,India,['8901888005717'],-,https://datalabs.siva3.io/image/Eunimart_groceries_5699_4-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-2_6-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-3_6-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-4_6-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-5_2-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-6_2-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-7_2-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_5699-8_2-dabur-hommade-lemoneez-goodness-of-33-lemons.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The closest and one of the best substitutes of real Lemons, Dabur Hommade Lemoneez can be used to make a variety of drinks as well as vegetarian & non-vegetarian dishes.","[{'EAN Code': '8901888005717'}, {'Country Of Origin': 'India'}]",-,-,-,"1. Our Hommade Lemoneez bottle is equivalent to extract of 33 lemons. 
2. This product contains natural Lemon & lime juice extracts. 
3. 2 tbsp of Hommade Lemoneez is equivalent to the juice of 1 Lemon, make sure you use in recipes accordingly. 
4. Speaking of recipes, it is great to be used in mocktails, nimbu paani & various veg/non-veg dishes.  
5. Freshest ingredients always - the taste of Hommade!","Water, Lime Juice, Lemon Juice Concentrate. Contains Permitted Class II Preservative (INS 224).",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Dabur,"Dabur Sharbat-E-Azam, 750 ml",Dabur Sharbat E Azam will help you keep hydrated during the summer season. It is made up of several herbs and fruit and vegetable juices with vital nutrients and vitamins essential for good health. This drink will give you energy as well as keep you hydrated throughout the day.,750 ml,ml,750 ml,1,1,155,155,"Dabur India Ltd. Plot No-22, Site 4, Sahibabad, Sahibabad Industrial Area, Sahibabad Industrial Area, Ghaziabad, Uttar Pradesh 201010",India,['8901207017186'],-,https://datalabs.siva3.io/image/Eunimart_groceries_258331_4-dabur-sharbat-e-azam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_258331-2_1-dabur-sharbat-e-azam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_258331-3_1-dabur-sharbat-e-azam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_258331-4_1-dabur-sharbat-e-azam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_258331-5_1-dabur-sharbat-e-azam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_258331-6_1-dabur-sharbat-e-azam.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901207017186'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Dabur India Ltd. Plot No-22, Site 4, Sahibabad, Sahibabad Industrial Area, Sahibabad Industrial Area, Ghaziabad, Uttar Pradesh 201010'}, {'Marketed by': 'Dabur India Ltd. Dabur House, Kaushambi, Sahibabad, Ghaziabad, 201010'}]","Dabur India Ltd. Dabur House, Kaushambi, Sahibabad, Ghaziabad, 201010",-,-,-,"Invert Sugar Base, Pineapple Juice(2.2%), Keora Water (2.1%), Khus Chandan Distillate, Herbs and Vegetable Distillate{(Carrot, Bottle Gourd, Munaqqa, Petha, Plak (0.01%), Pudina (0.008%), Khurfa, Kasani, Chharrhila, Gaozaban, Gul Nilofar (0.008%), Musk Dana,Dhania and Jeera) - 2%}, Rose Water (1.9%), Red Carrot Juice Concentrate (0.9%), Deionised Apple Concentrate (0.5%), Orange Juice (0.2%), Acidity Regular (ins 330), Basil Oil and Dextrose Monohydrate.",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Del Monte,"Del Monte Fruit Drink - Green Apple, 240 ml Tin","Del Monte Green Apple Fruit Drink is made from the yummy and delicious flavour of orchard crusty apples. This uplifting green apple fruit drink is a real treat for apple lovers. Fresh apple juice lowers the cholesterol intensity in the body. Del Monte Green Apple Fruit Drink is a refreshing fruit drink made with the finest apples. This fruit drink leaves a lingering flavour of orchard crunchy apples with each sip. Each sip packs a punch of fruitiness, like never before!",240 ml Tin,ml,240 ml Tin,1,1,50,50,"Del Monte Foods Private Limited C-2, First Floor, Plot No.16, Udyog Vihar Phase IV, Gurgaon-122015, Haryana, India.(AT Survey No 155/1, Kalukondapally Village, Denkanikote Taluk, Hosur-Thally Road, Krishnagiri Dist, Tamil Nadu-635114",India,['8901246001443'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266866_5-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-2_3-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-3_3-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-4_2-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-5_1-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-6_1-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-7_1-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-8_1-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-9_1-del-monte-fruit-drink-green-apple.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266866-10_1-del-monte-fruit-drink-green-apple.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901246001443'}, {'Country of Origin': 'India'}, {'Manufacturer Name & ': 'Del Monte Foods Private Limited C-2, First Floor, Plot No.16, Udyog Vihar Phase IV, Gurgaon-122015, Haryana, India.(AT Survey No 155/1, Kalukondapally Village, Denkanikote Taluk, Hosur-Thally Road, Krishnagiri Dist, Tamil Nadu-635114'}, {'Marketed By': 'Del Monte Foods Private Limited (formerly known as FieldFresh Foods Private Limited) (A Bharti Enterprise), Tower C-2, First Floor, Plot No 16, Udyog Vihar Phase IV, Gurgaon - 122 015'}]","Del Monte Foods Private Limited (formerly known as FieldFresh Foods Private Limited) (A Bharti Enterprise), Tower C-2, First Floor, Plot No 16, Udyog Vihar Phase IV, Gurgaon - 122 015",-,-,-,"Water, Apple Juice (Reconstituted From Apple Juice Concentrate) (30%), Sugar, Acidity Regulators (Ins 296, Ins 330) And Iodized Salt. Contains Permitted Synthetic Food Colours (Ins 102, Ins 133) And Added Flavours (Nature Identical Flavouring Substances)",-,-,-
