`,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best,"Best Brown Egg - Veg Feed & Extra Albumen, 6 pcs Pouch","Best brown eggs is a natural pigment placed by the hen on the surface of the shell during the final stages of egg formation. From the inside, the shell appears white. The outer shell colour can vary from light to dark brown, depending on the breed of the hen and also on individual hen characteristics.",6 pcs Pouch,pcs,6 pcs Pouch,6,1,89,89,"SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",India,['40003817'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003817_7-best-brown-egg-veg-feed-extra-albumen.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003817-2_4-best-brown-egg-veg-feed-extra-albumen.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003817-3_4-best-brown-egg-veg-feed-extra-albumen.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Egg can be use to make Cakes,omelettes, boiled eggs, egg bhurji and many more dishes.","[{'EAN Code': '40003817'}, {'Manufactured & Marketed by': 'SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best,"Best Cardio Egg - Low Cholesterol Good For Heart, 6 pcs Pouch","Best Cardio Egg includes 6 fresh and secure eggs. It is pesticide and anti-biotic free without bad odour.
It is UV treated fresh eggs that are free of crack and blood spots. It is famous wealthy source of protein.
It is an important building block of bones, cartilage, muscles, skin, and blood.
It is a wealthy source of vitamins, phosphorous, calcium, lecithin and iron.
It is excellent for the heart due to the presence of low cholesterol.",6 pcs Pouch,pcs,6 pcs Pouch,6,1,89,89,"SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",India,['8901958001083'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003815_1-best-cardio-egg-low-cholesterol-good-for-heart.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003815-2_1-best-cardio-egg-low-cholesterol-good-for-heart.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003815-3_1-best-cardio-egg-low-cholesterol-good-for-heart.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Used for making multiple dishes like egg burji,omlette etc","[{'EAN Code': '8901958001083'}, {'Manufactured & Marketed by': 'SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best,"Best Plus Egg - Veg Feed & No Bad Odour, 6 pcs Pouch","Best Plus Egg are hygienically processed and safely packed for keeping these free from any contamination and impurity. It has high nutritional content, protein, aroma and rich taste. These are one of nature's most nutritious and economical foods.",6 pcs Pouch,pcs,6 pcs Pouch,6,1,79,79,"SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",India,['400038140001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003814_1-best-plus-egg-veg-feed-no-bad-odour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003814-2_1-best-plus-egg-veg-feed-no-bad-odour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003814-3_1-best-plus-egg-veg-feed-no-bad-odour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003814-4_1-best-plus-egg-veg-feed-no-bad-odour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Used for making multiple dishes like egg burji,omlette etc","[{'EAN Code': '400038140001'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001'}]","SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best,"Best Plus Egg - Veg Feed & No Bad Odour, 6 pcs Pouch","Best Plus Egg are hygienically processed and safely packed for keeping these free from any contamination and impurity. It has high nutritional content, protein, aroma and rich taste. These are one of nature's most nutritious and economical foods.",6 pcs Pouch,pcs,6 pcs Pouch,6,1,79,79,"SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",India,['400038140001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003814_1-best-plus-egg-veg-feed-no-bad-odour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003814-2_1-best-plus-egg-veg-feed-no-bad-odour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003814-3_1-best-plus-egg-veg-feed-no-bad-odour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003814-4_1-best-plus-egg-veg-feed-no-bad-odour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Used for making multiple dishes like egg burji,omlette etc","[{'EAN Code': '400038140001'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001'}]","SKM UNIVERSAL MARKETING,185 CHENNIMALAI ROAD,ERODE-638001",-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best Buy,"Best Buy Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids, 12 pcs","Eggs are enriched with DHA. It helps to boost memory power, along with nutrition in eggs like Choline, Selenium and Lutein are essential for brain development and eye vision. These are some of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method of curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipes.
A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there! You can have them for breakfast, lunch, dinner and even as in-between snacks. Doctors recommend having at least one egg every day.",12 pcs,pcs,12 pcs,12,1,130,130,Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,India,['40235876'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40235876_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235876-2_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235876-3_1-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235876-4_1-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40235876'}, {'FSSAI No': 'NA'}, {'Manufactured & Marketed by': 'Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016'}, {'Country of origin': 'India'}]",Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,-,-,-,Fresh Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best Buy,"Best Buy Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids, 30 pcs","Eggs are enriched with DHA. It helps to boost memory power, along with nutrition in eggs like Choline, Selenium and Lutein are essential for brain development and eye vision. These are some of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method of curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipes.
A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there! You can have them for breakfast, lunch, dinner and even as in-between snacks. Doctors recommend having at least one egg every day.",30 pcs,pcs,30 pcs,30,1,275,275,Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,India,['40235878'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40235878_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235878-2_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235878-3_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235878-4_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235878-5_1-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40235878'}, {'FSSAI No': 'NA'}, {'Manufactured & Marketed by': 'Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016'}, {'Country of origin': 'India'}]",Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,-,-,-,Fresh Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best Buy,"Best Buy Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids, 6 pcs","Eggs are enriched with DHA. It helps to boost memory power, along with nutrition in eggs like Choline, Selenium and Lutein are essential for brain development and eye vision. These are some of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method of curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipes.
A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there! You can have them for breakfast, lunch, dinner and even as in-between snacks. Doctors recommend having at least one egg every day.",6 pcs,pcs,6 pcs,6,1,65,65,Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,India,['8901117259386'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40235875_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235875-2_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235875-3_1-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235875-4_1-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235875-5_1-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901117259386'}, {'FSSAI No': 'NA'}, {'Manufactured & Marketed by': 'Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016'}, {'Country of origin': 'India'}]",Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,-,-,-,Fresh Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Best Buy,"Best Buy Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids, 6 pcs","Eggs are enriched with DHA. It helps to boost memory power, along with nutrition in eggs like Choline, Selenium and Lutein are essential for brain development and eye vision. These are some of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method of curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipes.
A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there! You can have them for breakfast, lunch, dinner and even as in-between snacks. Doctors recommend having at least one egg every day.",6 pcs,pcs,6 pcs,6,1,75,75,Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,India,['40235877'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40235877_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235877-2_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235877-3_2-best-buy-eggs-wholesome-rich-in-protein-vitamins-amino-acids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40235877'}, {'FSSAI No': 'NA'}, {'Manufactured & Marketed by': 'Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016'}, {'Country of origin': 'India'}]",Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,-,-,-,Fresh Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,CP EVERYDAY,"CP EVERYDAY Eggs - White, 12 pcs","CP Eggs are a natural source of high-quality protein which helps to sustain mental and physical energy throughout the day. CP Eggs consist of 13.16 gm of protein in every 100 gm of an egg.
These are one of nature's most wholesome and cost-effective foods. A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there!
You can have them for breakfast, lunch, dinner and even as in-between snacks.",12 pcs,pcs,12 pcs,12,1,125,125,Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,India,['8906075650299 '],-,https://datalabs.siva3.io/image/Eunimart_groceries_40094114_1-cp-everyday-eggs-white.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well.
It is twisted boiled, sunny-side up, deviled or evened.
The Indian method curry eggs can be finished in so many unique tasty ways.
An egg can give you a health kick in no time at all!
It is the ideal ingredient to add to your child's breakfast for growth and development.
Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipe.",[{'EAN Code': '8906075650299 Country of origin: India ,-,-,-,-,Eggs
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,CP EVERYDAY,"CP EVERYDAY Eggs - White, 12 pcs","CP Eggs are a natural source of high-quality protein which helps to sustain mental and physical energy throughout the day. CP Eggs consist of 13.16 gm of protein in every 100 gm of an egg.
These are one of nature's most wholesome and cost-effective foods. A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there!
You can have them for breakfast, lunch, dinner and even as in-between snacks.",12 pcs,pcs,12 pcs,12,1,125,125,Sri Vebkateshwara Egg Trader No.26 72/1 1st floor Andra kalony A Narayanapura K R Puram BLR - 560016,India,['8906075650299 '],-,https://datalabs.siva3.io/image/Eunimart_groceries_40094114_1-cp-everyday-eggs-white.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well.
It is twisted boiled, sunny-side up, deviled or evened.
The Indian method curry eggs can be finished in so many unique tasty ways.
An egg can give you a health kick in no time at all!
It is the ideal ingredient to add to your child's breakfast for growth and development.
Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipe.",[{'EAN Code': '8906075650299 Country of origin: India ,-,-,-,-,Eggs
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Delfrez Eggs,"Delfrez Eggs Eggs - With Omega 3 & Vitamin E, For Healthy Heart, 6 pcs Carton","Delfrez Heart eggs are planned for fitness conscious people who prefer a low cholesterol egg shared with the benefits of Vitamin E and Omega 3 for longevity and a strong heart. It is a value-added farm fresh egg with up to 24% lesser cholesterol. It is improved with Omega 3 fatty acids; it is little in cholesterol and contains Vitamin E which is an accepted antioxidant. The enrichment is done by giving special natural feed to the hens maintained in Sugunas bio-security certified farms. The egg absorbs the nutrient assets from the hen diet. With low cholesterol, these eggs help you maintain a healthy heart! And the vitamin E present in it works as a natural antioxidant. So, buy Delfrez Heart eggs online now!",6 pcs Carton,pcs,6 pcs Carton,6,1,82,82,"Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",India,['890602714004'],-,https://datalabs.siva3.io/image/Eunimart_groceries_279988_2-suguna-speciality-eggs-heart.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279988-2_2-suguna-speciality-eggs-heart.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279988-3_2-suguna-speciality-eggs-heart.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279988-4_1-suguna-speciality-eggs-heart.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '890602714004'}, {'FSSAI No': ''}, {'Manufactured & Marketed by': 'Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018'}, {'Country of origin': 'India'}]","Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",-,-,-,Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Delfrez Eggs,"Delfrez Eggs Speciality Eggs - For Nourishment, Healthy & Tasty, 12 pcs","Clean and farm fresh eggs. These are one of the natures most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development.
Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipes.",12 pcs,pcs,12 pcs,12,1,135,135,"Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",India,['8906027148153'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40022614_2-suguna-speciality-eggs-nutri.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022614-2_1-suguna-speciality-eggs-nutri.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022614-3_1-suguna-speciality-eggs-nutri.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906027148153'}, {'FSSAI No': ''}, {'Manufactured & Marketed by': 'Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018'}, {'Country of origin': 'India'}]","Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",-,-,-,Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Delfrez Eggs,"Delfrez Eggs Speciality Eggs - Pro, With Carotenoids, Protein Rich, 6 pcs Carton","Delfrez Pro is a value-added, farm-fresh egg that is rich in proteins and vitamins. The improvement is done by giving unusual natural feed to the hens that are continued in Delfrez's bio-security skilled farms. The egg absorbs the nutrient assets from the hen's diet.",6 pcs Carton,pcs,6 pcs Carton,6,1,82,82,"Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",India,['890602714001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_279985_6-suguna-speciality-eggs-pro.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279985-2_1-suguna-speciality-eggs-pro.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279985-3_1-suguna-speciality-eggs-pro.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279985-4_1-suguna-speciality-eggs-pro.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '890602714001'}, {'FSSAI No': ''}, {'Manufactured & Marketed by': 'Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018'}, {'Country of origin': 'India'}]","Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",-,-,-,Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Delfrez Eggs,"Delfrez Eggs Speciality Eggs - Shakti, Protein Rich, 6 pcs Carton","Delfrez Shakti is a clean, farm-fresh egg that comes from the healthiest layer hens maintained in Delfrez's bio-security certified farms. We ensure that the eggs are graded, cleaned and stamped with a quality seal and packed in pulp cardboard cartons using stringent standards.",6 pcs Carton,pcs,6 pcs Carton,6,1,75,75,"Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",India,['8906027140021'],-,https://datalabs.siva3.io/image/Eunimart_groceries_279986_6-suguna-speciality-eggs-shakti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279986-2_1-suguna-speciality-eggs-shakti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279986-3_1-suguna-speciality-eggs-shakti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279986-4_1-suguna-speciality-eggs-shakti.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906027140021'}, {'FSSAI No': ''}, {'Manufactured & Marketed by': 'Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018'}, {'Country of origin': 'India'}]","Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",-,-,-,Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Delfrez Eggs,"Delfrez Eggs Table Eggs - Protein Rich, 30 pcs","These are some of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method of curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipes.
A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there!
You can have them for breakfast, lunch, dinner and even as in-between snacks. Doctors recommend having at least one egg every day.",30 pcs,pcs,30 pcs,30,1,280,280,"Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",India,['40050955'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40050955_3-suguna-table-eggs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40050955-2_2-suguna-table-eggs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40050955-3_2-suguna-table-eggs.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40050955'}, {'FSSAI No': ''}, {'Manufactured & Marketed by': 'Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018'}, {'Country of origin': 'India'}]","Suguna Foods Pvt Ltd, 5th Floor, Jaya Enclave, 1057, Avinashi Road, Coimbatore 641018",-,-,-,Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Desi,"Desi Eggs - Free Range & Brown, DHA Enriched, Country, 6 pcs","Desi Eggs are DHA Enriched country eggs that are laid by hens that are free to range lush green pastures, perch, wing flap, dust bathe, stand, lay down and lay eggs without artificial interference in the laying cycles.
The feed of the hen is enriched with organic marine algae rich in DHA.
They have unrestricted access to outdoor and indoor living space which is about 80 times or more than that of conventional caged hen, i.e., 40 sq. ft/hen.
They are also supplemented with ayurvedic herbal feed such as turmeric, garlic, amla, drumstick leaves etc, to improve immunity/disease resistance.",6 pcs,pcs,6 pcs,6,1,130,130,"Sree Lakshmi Nutri Eggs, D.No. 8-244, Opp. Police Station, Ravulapalem - 533238",India,['40131162'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40131162_1-desi-eggs-free-range-brown-dha-enriched-country.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40131162'}, {'Country of origin': 'India'}, {'Manufacturer Name and ': 'Sree Lakshmi Nutri Eggs, D.No. 8-244, Opp. Police Station, Ravulapalem - 533238'}]",-,-,-,-,Eggs
